transaccion_id,cliente_id,producto_comprado,cantidad_unidades,monto_total_ars,numero_envio,fecha_compra
5095,119,Mouse Óptico Inalámbrico,3,165000,NV-10053-AR,2026-08-05
5096,142,Monitor Gamer 27',2,840000,NV-86019-AR,2026-08-10
5097,144,Teclado Mecánico RGB,2,190000,NV-67905-AR,2026-08-08
5098,148,Monitor Gamer 27',3,1260000,NV-72021-AR,2026-08-13
5099,133,Monitor Gamer 27',3,1260000,NV-21114-AR,2026-08-05
5100,106,Placa de Video RTX 4060,3,2040000,NV-91167-AR,2026-08-06
5101,115,Disco Sólido SSD 1TB,1,110000,NV-98184-AR,2026-08-05
5102,103,Disco Sólido SSD 1TB,1,110000,NV-29313-AR,2026-08-01
5103,150,Monitor Gamer 27',2,840000,NV-90120-AR,2026-08-14
5104,137,Notebook I7 Pro,2,2900000,NV-64321-AR,2026-08-11
5105,126,Monitor Gamer 27',3,1260000,NV-60328-AR,2026-08-08
5106,101,Monitor Gamer 27',1,420000,NV-95990-AR,2026-08-12
5107,112,Disco Sólido SSD 1TB,1,110000,NV-65724-AR,2026-08-04
5108,104,Disco Sólido SSD 1TB,3,330000,NV-77889-AR,2026-08-08
5109,109,Auriculares Cancelación Ruido,1,180000,NV-25906-AR,2026-08-08
5110,136,Disco Sólido SSD 1TB,2,220000,NV-97500-AR,2026-08-09
5111,147,Auriculares Cancelación Ruido,2,360000,NV-68008-AR,2026-08-10
5112,111,Auriculares Cancelación Ruido,2,360000,NV-81810-AR,2026-08-08
5113,149,Placa de Video RTX 4060,2,1360000,NV-68991-AR,2026-08-05
5114,150,Monitor Gamer 27',3,1260000,NV-46347-AR,2026-08-13
5115,118,Auriculares Cancelación Ruido,2,360000,NV-92149-AR,2026-08-04
5116,118,Mouse Óptico Inalámbrico,1,55000,NV-47450-AR,2026-08-04
5117,109,Teclado Mecánico RGB,2,190000,NV-80798-AR,2026-08-02
5118,110,Monitor Gamer 27',1,420000,NV-60205-AR,2026-08-12
5119,127,Placa de Video RTX 4060,1,680000,NV-18418-AR,2026-08-07
